            table_name            | row_count 
----------------------------------+-----------
 public.teachings                 |       693
 public.media_assets              |       159
 public.form_questions            |       134
 public.products                  |        85
 public.page_sections             |        64
 public.section_content           |        64
 public.payments                  |        54
 public.faqs                      |        31
 public.membership_features       |        30
 public.contact_submissions       |        10
 public.teaching_accesses         |         9
 public.accordion_items           |         7
 public.newsletter_subscribers    |         7
 public.faq_categories            |         6
 public.donation_projects         |         6
 public.blog_posts                |         6
 public.section_tabs              |         5
 public.user_profiles             |         5
 public.users                     |         5
 public.form_fields               |         5
 public.teaching_favorites        |         4
 public.blog_categories           |         4
 public.section_decorations       |         3
 public.form_templates            |         3
 public.membership_pricing        |         3
 public.accordion_sections        |         2
 public.online_retreats           |         1
 public.events                    |         1
 public.contact_info              |         1
 public.retreat_registrations     |         0
 public.course_progress           |         0
 public.email_templates           |         0
 public.email_automations         |         0
 public.orders                    |         0
 public.membership_tiers          |         0
 public.course_comments           |         0
 public.membership_discount_items |         0
 public.order_items               |         0
 public.retreat_portals           |         0
 public.cart_items                |         0
 public.teaching_comments         |         0
 public.email_campaigns           |         0
 public.analytics_events          |         0
 public.carts                     |         0
 public.blogs                     |         0
 public.user_calendars            |         0
 public.user_product_accesses     |         0
 public.emails_sent               |         0
 public.teaching_watch_later      |         0
 public.courses                   |         0
 public.course_enrollments        |         0
 public.subscriptions             |         0
 public.galleries                 |         0
 public.instructors               |         0
 public.user_analytics            |         0
 public.applications              |         0
 public.course_components         |         0
 public.retreat_info              |         0
 public.retreats                  |         0
 public.course_classes            |         0
 public.gallery_images            |         0
 public.form_submissions          |         0
 public.course_page_sections      |         0
(63 rows)

